Player,Pos,Age,Team,Birth Date
Rajon Rondo,PG,30.0,Chicago Bulls,1986-02-22
Derrick Rose,PG,28.0,New York Knicks,1988-10-04
Terrence Ross,SF,25.0,Toronto Raptors,1991-02-05
Terrence Ross,SF,25.0,Orlando Magic,1991-02-05
Terry Rozier,PG,22.0,Boston Celtics,1994-03-17
Ricky Rubio,PG,26.0,Minnesota Timberwolves,1990-10-21
Damjan Rudez,SF,30.0,Orlando Magic,1986-06-17
Brandon Rush,SG,31.0,Minnesota Timberwolves,1985-07-07
D'Angelo Russell,PG,20.0,Los Angeles Lakers,1996-02-23
Domantas Sabonis,PF,20.0,Oklahoma City Thunder,1996-05-03
Larry Sanders,C,28.0,Cleveland Cavaliers,1988-11-21
Dario Saric,PF,22.0,Philadelphia 76ers,1994-04-08
Tomas Satoransky,SG,25.0,Washington Wizards,1991-10-30
Dennis Schroder,PG,23.0,Atlanta Hawks,1993-09-15
Luis Scola,PF,36.0,Brooklyn Nets,1980-04-30
Mike Scott,PF,28.0,Atlanta Hawks,1988-07-16
Thabo Sefolosha,SF,32.0,Atlanta Hawks,1984-05-02
Wayne Selden,SG,22.0,New Orleans Pelicans,1994-09-30
Wayne Selden,SG,22.0,Memphis Grizzlies,1994-09-30
Kevin Seraphin,PF,27.0,Indiana Pacers,1989-12-07
Ramon Sessions,PG,30.0,Charlotte Hornets,1986-04-11
Iman Shumpert,SG,26.0,Cleveland Cavaliers,1990-06-26
Pascal Siakam,PF,22.0,Toronto Raptors,1994-02-04
Jonathon Simmons,SG,27.0,San Antonio Spurs,1989-09-14
Kyle Singler,SF,28.0,Oklahoma City Thunder,1988-05-04
Marcus Smart,SG,22.0,Boston Celtics,1994-03-06
Ish Smith,PG,28.0,Detroit Pistons,1988-07-05
J.R. Smith,SG,31.0,Cleveland Cavaliers,1985-09-09
Jason Smith,C,30.0,Washington Wizards,1986-03-02
Tony Snell,SG,25.0,Milwaukee Bucks,1991-11-10
Marreese Speights,C,29.0,Los Angeles Clippers,1987-08-04
Tiago Splitter,C,32.0,Philadelphia 76ers,1985-01-01
Nik Stauskas,SG,23.0,Philadelphia 76ers,1993-10-07
Lance Stephenson,SG,26.0,New Orleans Pelicans,1990-09-05
Lance Stephenson,SG,26.0,Minnesota Timberwolves,1990-09-05
Lance Stephenson,SG,26.0,Indiana Pacers,1990-09-05
Jarnell Stokes,C,23.0,Denver Nuggets,1994-01-07
Diamond Stone,C,19.0,Los Angeles Clippers,1997-02-10
Rodney Stuckey,PG,30.0,Indiana Pacers,1986-04-21
Jared Sullinger,PF,24.0,Toronto Raptors,1992-03-04
Edy Tavares,C,24.0,Atlanta Hawks,1992-03-22
Edy Tavares,C,24.0,Cleveland Cavaliers,1992-03-22
Isaiah Taylor,PG,22.0,Houston Rockets,1994-07-11
Jeff Teague,PG,28.0,Indiana Pacers,1988-06-10
Mirza Teletovic,PF,31.0,Milwaukee Bucks,1985-09-18
Garrett Temple,SG,30.0,Sacramento Kings,1986-05-08
Jason Terry,SG,39.0,Milwaukee Bucks,1977-09-15
Isaiah Thomas,PG,27.0,Boston Celtics,1989-02-07
Lance Thomas,PF,28.0,New York Knicks,1988-04-24
Hollis Thompson,SG,25.0,Philadelphia 76ers,1991-04-03
Hollis Thompson,SG,25.0,New Orleans Pelicans,1991-04-03
Klay Thompson,SG,26.0,Golden State Warriors,1990-02-08
Tristan Thompson,C,25.0,Cleveland Cavaliers,1991-03-13
Marcus Thornton,SG,29.0,Washington Wizards,1987-06-05
Mike Tobey,C,22.0,Charlotte Hornets,1994-10-10
Anthony Tolliver,PF,31.0,Sacramento Kings,1985-06-01
Axel Toupane,SF,24.0,Milwaukee Bucks,1992-07-23
Axel Toupane,SF,24.0,New Orleans Pelicans,1992-07-23
Karl-Anthony Towns,C,21.0,Minnesota Timberwolves,1995-11-15
P.J. Tucker,SF,31.0,Phoenix Suns,1985-05-05
P.J. Tucker,SF,31.0,Toronto Raptors,1985-05-05
Evan Turner,SF,28.0,Portland Trail Blazers,1988-10-27
Myles Turner,C,20.0,Indiana Pacers,1996-03-24
Beno Udrih,PG,34.0,Detroit Pistons,1982-07-05
Tyler Ulis,PG,21.0,Phoenix Suns,1996-01-05
Jarrod Uthoff,PF,23.0,Dallas Mavericks,1993-05-19
Jonas Valanciunas,C,24.0,Toronto Raptors,1992-05-06
Denzel Valentine,SG,23.0,Chicago Bulls,1993-11-16
Fred VanVleet,PG,22.0,Toronto Raptors,1994-02-25
Anderson Varejao,C,34.0,Golden State Warriors,1982-09-28
Greivis Vasquez,PG,30.0,Brooklyn Nets,1987-01-16
Rashad Vaughn,SG,20.0,Milwaukee Bucks,1996-08-16
Noah Vonleh,PF,21.0,Portland Trail Blazers,1995-08-24
Nikola Vucevic,C,26.0,Orlando Magic,1990-10-24
Sasha Vujacic,SG,32.0,New York Knicks,1984-03-08
Dwyane Wade,SG,35.0,Chicago Bulls,1982-01-17
Dion Waiters,SG,25.0,Miami Heat,1991-12-10
Kemba Walker,PG,26.0,Charlotte Hornets,1990-05-08
John Wall,PG,26.0,Washington Wizards,1990-09-06
Taurean Waller-Prince,SF,22.0,Atlanta Hawks,1994-03-22
T.J. Warren,SF,23.0,Phoenix Suns,1993-09-05
C.J. Watson,PG,32.0,Orlando Magic,1984-04-17
Briante Weber,PG,24.0,Golden State Warriors,1992-12-29
Briante Weber,PG,24.0,Charlotte Hornets,1992-12-29
David West,C,36.0,Golden State Warriors,1980-08-29
Russell Westbrook,PG,28.0,Oklahoma City Thunder,1988-11-12
Okaro White,PF,24.0,Miami Heat,1992-08-13
Isaiah Whitehead,PG,21.0,Brooklyn Nets,1995-03-08
Hassan Whiteside,C,27.0,Miami Heat,1989-06-13
Andrew Wiggins,SF,21.0,Minnesota Timberwolves,1995-02-23
C.J. Wilcox,SG,26.0,Orlando Magic,1990-12-30
Alan Williams,C,24.0,Phoenix Suns,1993-01-28
Deron Williams,PG,32.0,Dallas Mavericks,1984-06-26
Deron Williams,PG,32.0,Cleveland Cavaliers,1984-06-26
Derrick Williams,PF,25.0,Miami Heat,1991-05-25
Derrick Williams,PF,25.0,Cleveland Cavaliers,1991-05-25
Lou Williams,SG,30.0,Los Angeles Lakers,1986-10-27
Lou Williams,SG,30.0,Houston Rockets,1986-10-27
Marvin Williams,PF,30.0,Charlotte Hornets,1986-06-19
Reggie Williams,SF,30.0,New Orleans Pelicans,1964-03-05
Reggie Williams,SF,30.0,New Orleans Pelicans,1986-09-14
Troy Williams,SF,22.0,Memphis Grizzlies,1994-12-30
Troy Williams,SF,22.0,Houston Rockets,1994-12-30
Kyle Wiltjer,PF,24.0,Houston Rockets,1992-10-20
Justise Winslow,SF,20.0,Miami Heat,1996-03-26
Jeff Withey,C,26.0,Utah Jazz,1990-03-07
Christian Wood,PF,21.0,Charlotte Hornets,1995-09-27
Metta World Peace,SF,37.0,Los Angeles Lakers,1979-11-13
Brandan Wright,PF,29.0,Memphis Grizzlies,1987-10-05
Delon Wright,PG,24.0,Toronto Raptors,1992-04-26
James Young,SG,21.0,Boston Celtics,1995-08-16
Joe Young,PG,24.0,Indiana Pacers,1992-06-27
Nick Young,SG,31.0,Los Angeles Lakers,1985-06-01
Thaddeus Young,PF,28.0,Indiana Pacers,1988-06-21
Cody Zeller,PF,24.0,Charlotte Hornets,1992-10-05
Tyler Zeller,C,27.0,Boston Celtics,1990-01-17
Stephen Zimmerman,C,20.0,Orlando Magic,1996-09-09
Paul Zipser,SF,22.0,Chicago Bulls,1994-02-18
Ivica Zubac,C,19.0,Los Angeles Lakers,1997-03-18
